junction_id,reference_build,gene_5p,chromosome_5p,strand_5p,boundary_5p,gene_3p,chromosome_3p,strand_3p,boundary_3p,evidence_state,biological_samples,distinct_qualifying_reads,mapping_specific_reads,mapping_specificity_unknown_reads,median_split_single_margin,median_shorter_anchor_nt,caller_agreement,callers,proposal_sources,assessed_distinct_reads,read_state_counts,rank_min,rank_max,display_rank
junction_b68ad07d775b072938716f96131ba391dd929672e3acfa342b92acebab5e9783,GRCm39/GENCODE_M28,ENSMUSG00000049775.17,chrX,-,165990108,ENSMUSG00000025193.15,chr19,+,43756664,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3967
junction_b691055dbecb8426f208c7240cc14e3cb73d1e2283c6a80d34287c1843faec2b,GRCm39/GENCODE_M28,ENSMUSG00000050708.17,chr7,-,45107367,ENSMUSG00000018293.5,chr11,-,70543720,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3968
junction_b6a27ef7ee44506c8a409fe2008af6a4443441d1b5b149193ec2c9952d7e36c5,GRCm39/GENCODE_M28,ENSMUSG00000016256.11,chr2,-,174269286,ENSMUSG00000095526.3,chr6,+,48500392,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3969
junction_b6a35d35095a57d5e2d1e8f52bfdf597fb25a506f4ae917cf87e466488fda5a0,GRCm39/GENCODE_M28,ENSMUSG00000093674.8,chr10,-,128383985,ENSMUSG00000050708.17,chr7,-,45109023,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3970
junction_b6ab816043d7a72299cef867c24546aaf61b13f2c5a8f9954dfaa21d6f1c0387,GRCm39/GENCODE_M28,ENSMUSG00000060802.9,chr2,+,121983556,ENSMUSG00000024781.17,chr19,-,34469899,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3971
junction_b6ae74ce5a3f2233cb7d2b330466895d774b64bbd02416e31df7d458cd124602,GRCm39/GENCODE_M28,ENSMUSG00000025993.11,chr1,-,45947334,ENSMUSG00000064370.1,chrM,+,14158,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3972
junction_b6b3943392ad95d1b2e0cc2497159f02d70a13317638041cab26aa5d0394ca8e,GRCm39/GENCODE_M28,ENSMUSG00000069516.9,chr10,-,117113237,ENSMUSG00000022365.7,chr15,-,57734958,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3973
junction_b6b4f985b2f52ce7e99fcb253e1b23c28a38bcdb33d7beb795556798bbfc74b0,GRCm39/GENCODE_M28,ENSMUSG00000004730.16,chr17,+,57790519,ENSMUSG00000020372.16,chr11,+,48696430,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3974
junction_b6e3f629d903400c5d67c8776fe0d1122aefc7334271d3db86be02625677bdfc,GRCm39/GENCODE_M28,ENSMUSG00000030681.19,chr7,-,126586039,ENSMUSG00000040699.14,chr11,-,106049813,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3975
junction_b6fb73fc01a285d8813a2617bc70441ca9c23b695fd3af1ef403952e9583a94b,GRCm39/GENCODE_M28,ENSMUSG00000029816.11,chr6,+,49033681,ENSMUSG00000107176.2,chr6,-,66852741,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3976
junction_b6fec4a9c9580946a38d6666b2bcdac196d60c97325dcccd711b06dcae7d0b3e,GRCm39/GENCODE_M28,ENSMUSG00000037339.18,chr5,-,33757696,ENSMUSG00000102070.2,chr1,-,24654633,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3977
junction_b71f4f504a32cb576ef9844d4b3b5ff47f857a02cfe258f9d2475694ad1bb4f5,GRCm39/GENCODE_M28,ENSMUSG00000093574.2,chr5,-,32892955,ENSMUSG00000029580.15,chr5,-,142889033,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3978
junction_b7203f5a08e427f7aab71a72ab20b90e4be6e042b849f61abc789f154f4e06b1,GRCm39/GENCODE_M28,ENSMUSG00000050708.17,chr7,-,45107367,ENSMUSG00000102070.2,chr1,-,24654637,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3979
junction_b72479efc4f741c43d6a6436eed9e7440e0490175ebdf37cddf883bb99f0ec8b,GRCm39/GENCODE_M28,ENSMUSG00000021939.9,chr14,+,63380584,ENSMUSG00000041203.10,chr8,+,85753491,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3980
junction_b7470a58ac247bd413eed0dadb8fc39503abc4bcec02ed2a30ebc2125dfd30ab,GRCm39/GENCODE_M28,ENSMUSG00000014859.10,chr8,+,106031996,ENSMUSG00000070343.4,chr3,-,146545103,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3981
junction_b74e87044819ab94f157f759ba2bd34050b5d36881a4a1bc3cf318799674c023,GRCm39/GENCODE_M28,ENSMUSG00000064351.1,chrM,+,6937,ENSMUSG00000009927.10,chr9,+,44319365,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3982
junction_b77158b4987daf95ac049dfa82b9cb019b9d30f990dd7a15f601ee3932ee12b9,GRCm39/GENCODE_M28,ENSMUSG00000029819.7,chr6,+,49806481,ENSMUSG00000004207.15,chr10,+,60137587,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3983
junction_b782f4526af113e6fad39ba5dd2a94052d4f2848379f9f93c8d6a8ff06c56c67,GRCm39/GENCODE_M28,ENSMUSG00002076377.1,chr7,-,45107368,ENSMUSG00000021939.9,chr14,+,63379682,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3984
junction_b78a5e365dcd9662aeac987cc1a59abf6d10ed00f0e429b767600b7334b661e8,GRCm39/GENCODE_M28,ENSMUSG00000066595.10,chr1,-,190738074,ENSMUSG00000069682.7,chr10,-,29574953,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3985
junction_b78a6164b9fe8aa04f1dda18c31c2c5ccb4252df4005c3742ce13c74c6e330a6,GRCm39/GENCODE_M28,ENSMUSG00000060802.9,chr2,+,121983530,ENSMUSG00000069792.6,chr11,+,83594920,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3986
junction_b78bf7b17fbc3fd9c68a5ba90b3ddd794b3ef14864844b4c01fa2add81f274b9,GRCm39/GENCODE_M28,ENSMUSG00000052738.15,chr6,+,73253886,ENSMUSG00000029598.13,chr5,-,120622319,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3987
junction_b78f05497a485c548748257ebc3bd3833169c21845cc4c8d03de3758e8daac59,GRCm39/GENCODE_M28,ENSMUSG00000069516.9,chr10,-,117105163,ENSMUSG00000026365.16,chr1,-,140014086,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3988
junction_b7900d6db41e50505d6bf83f35243bc1be63472711a439b5642a2832f9bb476a,GRCm39/GENCODE_M28,ENSMUSG00000050708.17,chr7,-,45107367,ENSMUSG00000058838.10,chr9,+,83291684,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3989
junction_b792e1b2efc649e1e64fc3e04190ca5ac8d2f735063c8e057e2e3e7944b23108,GRCm39/GENCODE_M28,ENSMUSG00000054920.13,chr5,+,65325393,ENSMUSG00000066362.6,chr8,+,87774330,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3990
junction_b7a9eb73468c3ef137d34cef54f083a7ebc8e386d249549a970d8b337c7262c1,GRCm39/GENCODE_M28,ENSMUSG00000029816.11,chr6,+,49033713,ENSMUSG00000070808.5,chr7,-,15705003,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3991
junction_b7b784689b0d14baea4490a4a6be2854ed6fac46b0598c72084390b860d23dcb,GRCm39/GENCODE_M28,ENSMUSG00000034789.9,chr13,-,55467699,ENSMUSG00000069565.13,chr10,+,80121181,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3992
junction_b7d7c51fc7e3659de8c3e11dd9e55260a5611b6a1cbd250e91cab1654c8cc927,GRCm39/GENCODE_M28,ENSMUSG00000068466.7,chr19,+,29138233,ENSMUSG00000112811.2,chr12,-,46525680,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3993
junction_b7dd21ce76d4b8cfa04cb1299a51b2840d1d69f4fd63e5d8b54ecb408db5c92d,GRCm39/GENCODE_M28,ENSMUSG00000089943.2,chr1,+,88146726,ENSMUSG00000015733.14,chr6,+,17665554,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3994
junction_b7ec70edaf0fae0506523b47faf0d440b980932ad8f97124ed792f180e3783ad,GRCm39/GENCODE_M28,ENSMUSG00000027533.11,chr3,+,10081398,ENSMUSG00000110040.2,chr7,-,141934580,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3995
junction_b7fb5e2b71781c0e4183adef5c0007d7ffbefb31da0e3dbbc76561101f556846,GRCm39/GENCODE_M28,ENSMUSG00000089989.11,chr7,-,44775345,ENSMUSG00000063457.15,chr10,+,80129536,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3996
junction_b81afdd24288cbf6056d4f0da3f95393a0632d31ba2ce15e1e16e90c5544d6bc,GRCm39/GENCODE_M28,ENSMUSG00000045382.7,chr1,-,128515935,ENSMUSG00000069516.9,chr10,-,117118165,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3997
junction_b8378548027665fc80376f852a43a3817c26c9ddf68edd4a7c1e56cc12a6cbf1,GRCm39/GENCODE_M28,ENSMUSG00000030579.11,chr7,+,30117005,ENSMUSG00000071532.7,chr10,+,14398816,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3998
junction_b852b4ed4af2f71547577672585732e0589ed1e878ad4c011e263601f2683998,GRCm39/GENCODE_M28,ENSMUSG00000064341.1,chrM,+,3697,ENSMUSG00000025289.16,chrX,-,154121414,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,3999
junction_b860137ddc71f6db11987e69671dd599c4bc376511c39dbd2e8e9f3e888474bb,GRCm39/GENCODE_M28,ENSMUSG00000024121.14,chr17,-,24382841,ENSMUSG00000037253.9,chr18,+,73725216,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4000
junction_b863a14082dc42019ddd981cd6e45121cb155bb3ba56efb7249a874bc09c3fd7,GRCm39/GENCODE_M28,ENSMUSG00000068396.10,chr6,+,71101985,ENSMUSG00000028820.14,chr4,+,126924449,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4001
junction_b865a4f6e269896767c281db5c4b5084f1a9beccd490f28ff77ebb5bfc21381c,GRCm39/GENCODE_M28,ENSMUSG00000030148.16,chr6,+,123119824,ENSMUSG00000021957.8,chr14,+,30290119,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4002
junction_b868dd9b032adad15ceb93d0b8b1c06915afb0a7f401a64aebf701523320dd22,GRCm39/GENCODE_M28,ENSMUSG00000030201.16,chr6,-,134423448,ENSMUSG00000085939.4,chr18,+,50268121,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4003
junction_b87e53bd9a9c94e866522093ad74d12f33e03776ef5fdd0abdb9294a29722f52,GRCm39/GENCODE_M28,ENSMUSG00000033938.6,chr8,+,84302815,ENSMUSG00000021939.9,chr14,+,63379919,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4004
junction_b889cb68a36493d13f0485ccf2f1cd80986965f22119caf81232978aaff369f5,GRCm39/GENCODE_M28,ENSMUSG00000069516.9,chr10,-,117113237,ENSMUSG00000027010.17,chr2,-,71154404,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4005
junction_b893476a7c0449e2affc4aa75159216da2998cd825a95918fe5f5648fe98e9f8,GRCm39/GENCODE_M28,ENSMUSG00000017210.15,chr11,-,98595423,ENSMUSG00000036427.6,chr7,-,33920343,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4006
junction_b89a562c870b67e830cc2bac6ad27282b70ec38635265b47141d9f0ed36a6cec,GRCm39/GENCODE_M28,ENSMUSG00000022551.9,chr15,+,76230125,ENSMUSG00000028656.15,chr4,-,122752975,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4007
junction_b8a265cdca2fbf63d6bf702a3336d6c72c64957bcbf752d802bcc4ebd638485b,GRCm39/GENCODE_M28,ENSMUSG00000024661.8,chr19,+,9962455,ENSMUSG00000069094.13,chr3,-,19280398,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4008
junction_b8b12b0bc124a4623f7d67a788efa3c9b8d07356d373860126c68ad04a14ee45,GRCm39/GENCODE_M28,ENSMUSG00000021998.17,chr14,+,75468282,ENSMUSG00000060126.15,chr14,+,76082793,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4009
junction_b8b39e6781ce7e304b4efac28ac76a84e423e89c1209f49e7b156ba5de47a25b,GRCm39/GENCODE_M28,ENSMUSG00000039615.10,chr17,-,26049609,ENSMUSG00000064345.1,chrM,+,3860,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4010
junction_b8bc557c57ca849593fb4c516cba45a2867d4765cca566fc8c5c4a25cf262033,GRCm39/GENCODE_M28,ENSMUSG00000021871.20,chr14,+,51189458,ENSMUSG00000040322.11,chr3,+,109030453,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4011
junction_b8c41c9bd4e87daac8973927952eeefcb6d7bf69e62c811bae24b486f175e061,GRCm39/GENCODE_M28,ENSMUSG00000031328.17,chrX,-,73267080,ENSMUSG00000069516.9,chr10,-,117118147,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4012
junction_b8c61039d26ff8866d0a417ba46ece940d8c6a7e5b7118fb0a3cf41d632ec0c6,GRCm39/GENCODE_M28,ENSMUSG00000027763.14,chr3,+,60537167,ENSMUSG00000037075.8,chr15,+,58771033,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4013
junction_b8c984b37747571f26acf13c13d009d70f71eda96901d3b2d9af42bbbc594bb7,GRCm39/GENCODE_M28,ENSMUSG00000062997.7,chr2,-,38891604,ENSMUSG00000049775.17,chrX,-,165992141,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4014
junction_b8ca5fb6d9afaffaed145273fa4c5c0911809c6163ba6d6ce0894e36d2d547dd,GRCm39/GENCODE_M28,ENSMUSG00000024491.17,chr18,+,42474607,ENSMUSG00000031447.8,chr8,+,13224772,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4015
junction_b8d3ea4b846389d2a9146aea7fb0bf6ef9423dc84b52044f516f1bbe3a16a837,GRCm39/GENCODE_M28,ENSMUSG00000081344.6,chr2,-,172351347,ENSMUSG00000028367.6,chr4,-,57956281,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4016
junction_b8ece3ba1dfe21095b8c9045af9d6e63134e4df5fb70f056194c140c4dccbfeb,GRCm39/GENCODE_M28,ENSMUSG00000050335.18,chr14,+,47623259,ENSMUSG00000002985.17,chr7,-,19432964,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4017
junction_b8f803c4f18ff775b1ac86e4669a74a3d88e71c54cd00b87b74a560d4b0d06bc,GRCm39/GENCODE_M28,ENSMUSG00000040681.17,chr16,-,95922791,ENSMUSG00000067274.11,chr5,+,115697843,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4018
junction_b8fd5b36038d0715b3381be5d0cd480f5927f1baed49228790edc9f4a57062be,GRCm39/GENCODE_M28,ENSMUSG00000021939.9,chr14,+,63380558,ENSMUSG00000070493.4,chr5,-,129910223,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4019
junction_b904535789225895b6d8cef1d355ac77e25f12d763804fda65c13916fc4ee66a,GRCm39/GENCODE_M28,ENSMUSG00000044080.10,chr3,-,90418353,ENSMUSG00000043964.15,chr7,+,127374002,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4020
junction_b90fbd7ad807d9783699743a146505bd769a99132d3475b666e221eb94adbf8b,GRCm39/GENCODE_M28,ENSMUSG00000021939.9,chr14,+,63380584,ENSMUSG00000076432.14,chr12,-,21441272,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4021
junction_b92768a04cc050fb18dff6b42ed4dcf3e7a9c9291b9f47162051fa3228228a2f,GRCm39/GENCODE_M28,ENSMUSG00000031207.17,chrX,+,95212153,ENSMUSG00002075304.1,chr11,-,3617365,ambiguous_single_vs_split,0,0,0,0,,,0,[],[],1,"{""supported_two_gene_junction"": 0, ""ambiguous_single_vs_split"": 1, ""insufficient_anchor"": 0, ""artifact_suspected"": 0, ""unmapped/unresolved"": 0, ""single_transcript_explained"": 0}",117,5509,4022
